gesture_class,gesture_name,precision,recall,f1_score
0,none,1.000000,1.000000,1.000000
1,open palm,1.000000,0.923077,0.960000
2,fist,1.000000,1.000000,1.000000
3,thumbs up,1.000000,1.000000,1.000000
4,pointing,1.000000,1.000000,1.000000
5,peace / V,0.928571,1.000000,0.962963
6,OK sign,0.928571,0.928571,0.928571
7,wave,1.000000,1.000000,1.000000
8,help signal,1.000000,0.857143,0.923077
9,grab / clench,0.882353,1.000000,0.937500
